Name,Data,Id,Realtime,Utime,Mem(MB),1-1,Intra,Inter,Sil,Clusters >= 5,avg size >= 5,median size >= 5,pct of clusters >= 5,Purity,NMI
CD-HIT,Costello,0.9,11:40.13,699.0,494.1015625,NA,88.258,64.704,0.246,1746,611.727,24,48.581,NA,NA
DNACLUST,Costello,0.9,4:22.61,707.4,1115.68359375,NA,88.395,64.936,0.197,1927,553.852,23,45.664,NA,NA
MeShClust,Costello,0.9,9:25.28,1181.2,941.80859375,NA,91.911,65.225,0.437,922,1159.304,19,37.388,NA,NA
UCLUST,Costello,0.9,1:08.47,67.2,412.3828125,NA,90.672,65.308,0.302,2605,409.837,27,56.594,NA,NA
CD-HIT,Costello,0.93,9:05.19,544.1,497.96875,NA,90.610,65.585,0.228,2832,375.775,19,41.163,NA,NA
DNACLUST,Costello,0.93,5:08.55,742.4,1130.90625,NA,91.155,65.828,0.194,3120,340.554,18,37.896,NA,NA
MeShClust,Costello,0.93,9:22.34,1193.9,950.96875,NA,92.950,65.553,0.445,1204,886.146,18,30.130,NA,NA
UCLUST,Costello,0.93,1:32.25,90.9,412.37890625,NA,92.612,66.343,0.246,4388,242.153,20,47.941,NA,NA
CD-HIT,Costello,0.96,14:06.25,844.3,510.43359375,NA,93.447,66.501,0.207,4722,223.110,14,30.086,NA,NA
DNACLUST,Costello,0.96,4:16.88,558.2,1122.30859375,NA,94.014,66.866,0.179,4946,212.043,13,25.644,NA,NA
MeShClust,Costello,0.96,9:28.71,1208.5,931.26953125,NA,94.448,66.255,0.453,1735,612.986,15,25.545,NA,NA
UCLUST,Costello,0.96,2:09.83,124.8,412.37890625,NA,94.985,67.037,0.157,7560,138.613,15,35.615,NA,NA
WCD,Costello,0.96,39:11.69,9089.53,204.906,NA,90.704,63.989,0.681,24,44596.583,10,2.424,NA,NA
CD-HIT,Costello,0.97,17:27.64,1046.4,520.4140625,NA,94.462,66.806,0.189,5630,185.592,13,25.158,NA,NA
DNACLUST,Costello,0.97,3:36.42,455.6,1123.41796875,NA,94.958,67.185,0.156,5731,181.083,12,20.561,NA,NA
MeShClust,Costello,0.97,9:47.09,1294.5,999.23828125,NA,95.281,66.370,0.464,2029,523.007,15,23.073,NA,NA
UCLUST,Costello,0.97,2:43.78,162.3,412.37890625,NA,95.905,67.304,0.073,9770,106.043,15,31.340,NA,NA
